#OTU ID	Callimicos	WartyPig	Baboon	Chimp	Gorilla	Orangutan	Saki	Urial	Colobus	RingTailedLemur	Giraffe	Okapi	BigHornSheep	Gazelle	Lion	PolarBear	Springbok	BlackLemur	BushDog	Hyena	SpectacledBear	BlackBear
otu1	0	0	4	14	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	141	913
otu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0
otu3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	182	34	0	0
otu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	3	0	0	0
otu5	414	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	3
otu7	272	0	0	8	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu8	0	0	328	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu9	0	0	41	57	13	80	0	0	0	0	0	0	0	0	0	1	0	118	0	0	0	0
otu10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0
otu11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	156	0
otu12	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu13	0	0	0	0	0	0	0	6	0	0	141	91	0	0	0	0	0	0	0	0	0	0
otu14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	105	12	0	3
otu15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	85	0	0	0	0	0	19
otu16	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	18	0	0	74	6	0	6
otu18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	1	0	0	3	0	0	0
otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0
otu20	0	0	0	37	5	0	52	0	0	1	0	0	0	0	0	0	0	38	0	0	0	0
otu21	0	0	8	22	12	26	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
otu22	0	0	64	26	1	17	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
otu23	0	5	0	0	0	0	0	0	0	0	81	50	0	0	0	12	0	0	0	0	0	1
otu24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	2	0	0
otu25	0	0	0	0	0	1	93	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
otu26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	86	0	0
otu27	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	91	0	0
otu28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
otu29	0	0	0	0	1	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu30	0	106	0	0	0	7	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
otu31	0	0	0	0	0	43	28	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
otu32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	43	23	0	0
otu33	0	0	0	16	60	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
otu34	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	64	0	0	0	0	0	3
otu35	0	0	0	44	18	7	21	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
otu36	0	0	0	42	11	14	9	0	17	0	0	0	0	0	0	0	0	4	0	0	0	0
otu37	0	0	0	0	26	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
otu38	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0
otu39	0	0	0	2	25	22	9	0	5	17	0	0	0	0	0	0	0	0	0	0	0	0
otu40	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
otu41	0	0	0	35	13	3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0
otu43	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
otu44	0	6	0	0	0	0	0	1	0	0	55	26	0	0	0	0	0	0	0	0	0	0
otu45	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu46	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
otu47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	7	25	0	0
otu48	0	0	9	1	4	13	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
otu49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
otu50	0	0	0	0	0	0	0	0	0	0	31	50	0	0	0	0	0	0	0	0	0	0
otu51	0	0	41	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu52	0	0	0	0	0	0	0	1	0	0	73	1	0	0	0	0	0	0	0	0	0	0
otu53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	13	0	0
otu54	0	0	39	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu55	0	0	0	8	1	3	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu56	0	20	0	0	0	0	0	0	3	42	0	0	0	0	0	0	0	0	0	0	0	0
otu57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
otu58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0
otu59	0	1	23	25	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
otu60	0	0	0	4	0	3	0	0	0	0	8	39	0	0	0	10	0	0	0	0	0	0
otu61	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu62	33	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0
otu64	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
otu65	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	20	22	0	0
otu66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
otu67	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu68	0	0	0	0	0	0	0	0	49	11	0	0	0	0	0	0	0	0	0	0	0	0
otu69	0	0	0	0	0	0	0	18	0	0	7	6	16	20	0	0	7	0	0	0	0	0
otu70	0	0	0	19	24	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
otu71	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	2
otu72	0	0	0	0	0	3	0	0	0	0	44	18	0	0	0	0	0	0	0	0	0	0
otu73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0
otu74	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0
otu75	0	0	0	0	0	0	0	0	0	0	0	0	18	55	0	0	0	0	0	0	0	0
otu76	0	0	0	0	0	0	0	14	0	0	4	5	25	14	0	0	9	0	0	0	0	0
otu77	0	0	0	14	8	8	17	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
otu78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	2	0	0
otu79	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
otu80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
otu81	0	6	0	0	0	0	0	0	0	0	42	3	0	0	0	5	0	0	0	0	0	0
otu82	0	0	26	0	3	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0
otu83	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu84	0	0	35	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu85	0	0	0	21	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu86	0	0	0	0	0	0	0	3	0	0	6	5	4	48	0	0	0	0	0	0	0	0
otu87	0	0	0	0	0	0	0	1	0	0	16	44	0	0	0	0	0	0	0	0	0	0
otu88	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu89	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu90	0	0	0	0	0	0	0	9	0	0	0	10	20	25	0	0	0	0	0	0	0	0
otu91	0	0	0	0	0	0	0	37	0	0	0	3	27	0	0	0	0	0	0	0	0	0
otu92	0	11	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	0	0	0	0
otu93	0	12	0	0	0	0	0	34	0	0	0	2	0	12	0	0	2	0	0	0	0	0
otu94	0	0	0	0	0	0	0	0	37	0	13	0	0	0	0	0	0	0	0	0	0	0
otu95	0	0	0	0	0	0	0	26	1	0	1	6	15	12	0	0	2	0	0	0	0	0
otu96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0
otu97	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu98	0	0	0	0	0	0	0	36	0	0	0	0	13	8	0	0	6	0	0	0	0	0
otu99	0	0	0	0	0	0	0	0	10	37	0	0	0	0	0	0	0	0	0	0	0	0
otu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	3	0	0
otu101	0	0	0	0	0	0	0	0	0	0	0	1	57	0	0	0	1	0	0	0	0	0
otu102	0	0	0	0	0	0	0	1	0	0	0	0	25	21	0	0	9	0	0	0	0	0
otu103	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
otu104	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu105	0	0	0	36	2	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
otu106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0
otu107	0	0	0	0	0	0	0	0	0	0	1	15	0	37	0	0	0	0	0	0	0	0
otu108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
otu109	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	0
otu110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
otu111	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	33	0	0
otu112	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
otu113	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
otu114	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0
otu115	0	0	0	8	0	16	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
otu116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
otu117	0	13	0	0	0	0	0	0	0	0	20	7	0	4	0	0	1	0	0	0	0	0
otu118	0	0	12	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	10	1	0	0
otu120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	2
otu121	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
otu122	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu123	0	0	0	0	1	0	7	0	1	8	0	0	0	0	0	0	0	13	0	0	0	0
otu124	0	0	0	3	26	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
otu125	0	0	0	1	3	0	0	1	1	0	0	16	8	4	0	0	11	0	0	0	0	0
otu126	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
otu128	0	0	0	4	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
otu130	0	0	0	25	6	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
otu131	8	0	0	8	1	1	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
otu132	0	0	4	1	1	2	0	4	0	0	1	11	12	6	0	0	0	0	0	0	0	0
otu133	0	0	0	0	5	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
otu134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	16	0	0	0
otu135	0	0	0	0	0	0	0	15	0	0	0	1	16	16	0	0	0	0	0	0	0	0
otu136	0	0	0	0	0	0	0	1	0	0	14	2	2	24	0	0	0	0	0	0	0	0
otu137	0	0	0	0	0	0	0	9	0	0	0	0	40	0	0	0	0	0	0	0	0	0
otu138	0	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu139	0	0	0	16	1	1	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
otu140	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
otu141	0	0	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu142	0	0	0	1	2	2	16	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0
otu143	0	0	0	0	1	0	18	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0
otu144	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
otu146	0	0	0	0	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
otu148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
otu149	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
otu150	0	0	0	6	23	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
otu151	0	0	0	0	0	0	0	12	0	0	0	1	32	0	0	0	0	0	0	0	0	0
otu152	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	7	0	0
otu153	0	0	0	1	1	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	10	0	0
otu155	0	0	0	0	5	2	9	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0
otu156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0
otu157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0
otu158	0	10	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0
